ベンダ,GRAPHTEC Corporation
モデル,"GL840"
バージョン,"Ver1.52"
最大CH数,60
GS開始CH,60
WL開始CH,60
WLユニット,OFF,OFF,OFF,OFF,OFF
最大ロジックCH数,0
Logic/Pulse,Off,Off,Off,Off,Off,Off,Off
温度単位,C
測定間隔,1s
測定点数,1632               
トリガ点,0                  
開始時刻,2022-11-10,16:25:01
終了時刻,2022-11-10,16:52:14
トリガ時刻,2022-11-10,16:25:02
アンプ設定
CH,信号名,アンプ,入力,レンジ,温度レンジ,フィルタ,スパン上限,スパン下限,単位,線色,,,線幅,スケーリング機能,入力側上限値,入力側下限値,出力側上限値,出力側下限値,単位
CH1,"MF1(CO2)",M,DC,1-5V,,2,+2.80,-0.40,kg/h,28,5,6,1,On,+5.000,+1.000,+240.00,+0.00,kg/h
CH2,"MF2(Water)",M,DC,1-5V,,2,+3.900,+1.100,l/min,0,13,23,1,On,+5.000,+1.000,+5.000,+0.000,l/min
CH3,"MF3(Water)",M,DC,1-5V,,2,+5.000,+0.000,l/min,9,22,8,1,On,+5.000,+1.000,+5.000,+0.000,l/min
CH6,"PS01",M,DC,1-5V,,2,+5.000,+0.000,MPa,5,23,30,1,On,+5.000,+1.000,+5.000,+0.000,MPa
CH7,"PS02",M,DC,1-5V,,2,+5.000,+0.000,MPa,30,23,1,1,On,+5.000,+1.000,+5.000,+0.000,MPa
CH8,"PS03",M,DC,1-5V,,2,+5.000,+0.000,MPa,28,0,17,1,On,+5.000,+1.000,+5.000,+0.000,MPa
CH9,"PS04",M,DC,1-5V,,2,+5.000,+0.000,MPa,17,11,7,1,On,+5.000,+1.000,+5.000,+0.000,MPa
CH10,"PS05",M,DC,1-5V,,2,+5.000,+0.000,MPa,19,27,0,1,On,+5.000,+1.000,+5.000,+0.000,MPa
CH11,"PS06",M,DC,1-5V,,2,+5.000,+0.000,MPa,28,5,6,1,On,+5.000,+1.000,+5.000,+0.000,MPa
CH12,"PS07",M,DC,1-5V,,2,+5.000,+0.000,MPa,0,13,23,1,On,+5.000,+1.000,+5.000,+0.000,MPa
CH13,"PS08",M,DC,1-5V,,2,+5.000,+0.000,MPa,9,22,8,1,On,+5.000,+1.000,+5.000,+0.000,MPa
CH14,"PS09",M,DC,1-5V,,2,+5.000,+0.000,MPa,21,0,21,1,On,+5.000,+1.000,+5.000,+0.000,MPa
CH15,"PS10",M,DC,1-5V,,2,+5.000,+0.000,MPa,28,16,2,1,On,+5.000,+1.000,+5.000,+0.000,MPa
CH20,"室温",M,TEMP,TC_T,2000degC,2,+60.0,+0.0,ﾟC,19,27,0,1,Off,+2000.0,+0.0,+2000.0,+0.0,degC
CH21,"T01",M,TEMP,TC_T,2000degC,2,+60.0,+0.0,ﾟC,28,5,6,1,Off,+2000.0,+0.0,+2000.0,+0.0,degC
CH22,"T02",M,TEMP,TC_T,2000degC,2,+55.0,+0.0,ﾟC,0,13,23,1,Off,+2000.0,+0.0,+2000.0,+0.0,degC
CH23,"T03",M,TEMP,TC_T,2000degC,2,+50.0,+0.0,ﾟC,9,22,8,1,Off,+2000.0,+0.0,+2000.0,+0.0,degC
CH24,"T04",M,TEMP,TC_T,2000degC,2,+50.0,+0.0,ﾟC,21,0,21,1,Off,+2000.0,+0.0,+2000.0,+0.0,degC
CH25,"T05",M,TEMP,TC_T,2000degC,2,+2000.0,-200.0,ﾟC,28,16,2,1,Off,+2000.0,+0.0,+2000.0,+0.0,degC
CH26,"T06",M,TEMP,TC_T,2000degC,2,+45.0,-5.0,ﾟC,5,23,30,1,Off,+2000.0,+0.0,+2000.0,+0.0,degC
CH27,"T07",M,TEMP,TC_T,2000degC,2,+50.0,+0.0,ﾟC,30,23,1,1,Off,+2000.0,+0.0,+2000.0,+0.0,degC
CH28,"T08",M,TEMP,TC_T,2000degC,2,+60.0,-10.0,ﾟC,28,0,17,1,Off,+2000.0,+0.0,+2000.0,+0.0,degC
CH29,"T09",M,TEMP,TC_T,2000degC,2,+60.0,-10.0,ﾟC,17,11,7,1,Off,+2000.0,+0.0,+2000.0,+0.0,degC
CH30,"T10",M,TEMP,TC_T,2000degC,2,+60.0,+0.0,ﾟC,19,27,0,1,Off,+2000.0,+0.0,+2000.0,+0.0,degC
CH41,"T11",M,TEMP,TC_K,2000degC,2,+50.0,+0.0,ﾟC,28,5,6,1,Off,+2000.0,+0.0,+2000.0,+0.0,degC
CH42,"T12",M,TEMP,TC_K,2000degC,2,+50.0,+0.0,ﾟC,0,13,23,1,Off,+2000.0,+0.0,+2000.0,+0.0,degC
CH43,"T13",M,TEMP,TC_K,2000degC,2,+2000.0,-200.0,ﾟC,9,22,8,1,Off,+2000.0,+0.0,+2000.0,+0.0,degC
CH44,"T14",M,TEMP,TC_K,2000degC,2,+1800.0,-100.0,ﾟC,21,0,21,1,Off,+2000.0,+0.0,+2000.0,+0.0,degC
CH45,"T21",M,TEMP,TC_K,2000degC,2,+50.0,+0.0,ﾟC,28,16,2,1,Off,+2000.0,+0.0,+2000.0,+0.0,degC
CH46,"T22",M,TEMP,TC_K,2000degC,2,+50.0,+0.0,ﾟC,5,23,30,1,Off,+2000.0,+0.0,+2000.0,+0.0,degC
CH47,"T23",M,TEMP,TC_K,2000degC,2,+50.0,+0.0,ﾟC,30,23,1,1,Off,+2000.0,+0.0,+2000.0,+0.0,degC
CH48,"T24",M,TEMP,TC_K,2000degC,2,+50.0,+0.0,ﾟC,28,0,17,1,Off,+2000.0,+0.0,+2000.0,+0.0,degC
CH49,"T25",M,TEMP,TC_K,2000degC,2,+2000.0,-200.0,ﾟC,17,11,7,1,Off,+2000.0,+0.0,+2000.0,+0.0,degC
CH50,"T26",M,TEMP,TC_K,2000degC,2,+2000.0,-200.0,ﾟC,19,27,0,1,Off,+2000.0,+0.0,+2000.0,+0.0,degC
CH51,"T27",M,TEMP,TC_K,2000degC,2,+2000.0,-200.0,ﾟC,28,5,6,1,Off,+2000.0,+0.0,+2000.0,+0.0,degC
CH52,"T28",M,TEMP,TC_K,2000degC,2,+2000.0,-200.0,ﾟC,0,13,23,1,Off,+2000.0,+0.0,+2000.0,+0.0,degC
CH53,"T29",M,TEMP,TC_K,2000degC,2,+2000.0,-200.0,ﾟC,9,22,8,1,Off,+2000.0,+0.0,+2000.0,+0.0,degC
CH54,"T30",M,TEMP,TC_K,2000degC,2,+2000.0,-200.0,ﾟC,21,0,21,1,Off,+2000.0,+0.0,+2000.0,+0.0,degC
CH,入力,スロープ,フィルタ,スパン,,単位,線色,,,線幅
測定値
番号,日付/時間,ms,CH1,CH2,CH3,CH6,CH7,CH8,CH9,CH10,CH11,CH12,CH13,CH14,CH15,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH27,CH28,CH29,CH30,CH41,CH42,CH43,CH44,CH45,CH46,CH47,CH48,CH49,CH50,CH51,CH52,CH53,CH54,Alarm1-10,Alarm11-20,Alarm21-30,Alarm31-40,Alarm41-50,Alarm51-60,AlarmOut
NO.,Time,ms,"kg/h","l/min","l/min","MPa","MPa","MPa","MPa","MPa","MPa","MPa","MPa","MPa","MPa","ﾟC","ﾟC","ﾟC","ﾟC","ﾟC","ﾟC","ﾟC","ﾟC","ﾟC","ﾟC","ﾟC","ﾟC","ﾟC","ﾟC","ﾟC","ﾟC","ﾟC","ﾟC","ﾟC","ﾟC","ﾟC","ﾟC","ﾟC","ﾟC","ﾟC","A1234567890","A1234567890","A1234567890","A1234567890","A1234567890","A1234567890","AO1234/WLAO12345"
1,2022-11-10 16:25:02,0,+12.81,+1.028,+1.330,+0.576,+2.071,+0.308,+0.309,+0.279,+0.280,+2.071,+2.043,+0.685,+0.589,+24.2,+22.2,+88.1,+21.7,+21.5,+23.4,+22.9,+54.1,+16.1,+10.6,+16.1,+21.3,+21.0,+22.8,+23.2,+15.0,+17.4,+17.1,+15.1,+23.0,+23.1,+23.1,+23.0,+22.0,+22.0,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
2,2022-11-10 16:25:03,0,+12.84,+1.031,+1.332,+0.575,+2.071,+0.308,+0.309,+0.279,+0.280,+2.071,+2.044,+0.685,+0.589,+24.3,+22.3,+88.2,+21.8,+21.6,+23.5,+23.0,+54.1,+16.2,+10.7,+16.2,+21.2,+20.9,+22.7,+23.0,+14.9,+17.2,+16.9,+14.8,+22.9,+22.9,+22.9,+22.8,+21.8,+21.8,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
3,2022-11-10 16:25:04,0,+12.83,+1.033,+1.314,+0.575,+2.070,+0.308,+0.309,+0.280,+0.280,+2.070,+2.044,+0.684,+0.589,+24.3,+22.3,+88.2,+21.9,+21.7,+23.5,+23.0,+54.2,+16.1,+10.7,+16.2,+21.2,+20.9,+22.5,+23.0,+14.9,+17.1,+16.9,+14.8,+22.9,+23.0,+22.8,+22.8,+21.6,+21.7,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
4,2022-11-10 16:25:05,0,+12.87,+1.028,+1.298,+0.576,+2.071,+0.309,+0.309,+0.280,+0.280,+2.070,+2.045,+0.685,+0.590,+24.3,+22.2,+88.2,+21.9,+21.8,+23.4,+23.0,+54.2,+16.1,+10.6,+16.2,+21.0,+20.9,+22.4,+22.9,+14.8,+17.2,+16.9,+14.8,+23.0,+23.0,+22.9,+22.8,+21.6,+21.7,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
5,2022-11-10 16:25:06,0,+12.93,+1.020,+1.299,+0.576,+2.072,+0.309,+0.310,+0.280,+0.280,+2.071,+2.045,+0.685,+0.590,+24.3,+22.2,+88.2,+21.9,+21.8,+23.3,+23.0,+54.2,+16.1,+10.6,+16.0,+21.0,+20.9,+22.6,+22.8,+14.8,+17.1,+16.9,+14.8,+23.0,+22.9,+22.9,+22.8,+21.8,+21.7,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
6,2022-11-10 16:25:07,0,+12.92,+1.016,+1.287,+0.577,+2.072,+0.309,+0.310,+0.280,+0.280,+2.072,+2.045,+0.685,+0.589,+24.2,+22.2,+88.2,+22.0,+21.8,+23.3,+23.0,+54.2,+16.1,+10.6,+15.9,+21.2,+21.0,+22.6,+23.0,+15.0,+17.2,+17.0,+14.8,+23.0,+23.0,+23.0,+23.1,+22.0,+21.9,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
7,2022-11-10 16:25:08,0,+12.90,+1.022,+1.289,+0.577,+2.071,+0.308,+0.310,+0.280,+0.280,+2.072,+2.045,+0.685,+0.589,+24.2,+22.1,+88.2,+22.0,+21.7,+23.3,+23.0,+54.3,+16.1,+10.5,+16.0,+21.1,+21.0,+22.6,+23.0,+15.0,+17.3,+16.9,+14.9,+23.1,+23.0,+23.1,+22.9,+22.0,+22.0,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
8,2022-11-10 16:25:09,0,+12.86,+1.023,+1.300,+0.576,+2.071,+0.308,+0.310,+0.280,+0.280,+2.071,+2.045,+0.685,+0.589,+24.2,+22.1,+88.2,+22.0,+21.7,+23.3,+23.0,+54.4,+16.1,+10.5,+15.9,+21.2,+21.0,+22.7,+23.0,+15.0,+17.3,+16.9,+14.8,+23.1,+23.1,+23.1,+22.9,+22.0,+22.0,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
9,2022-11-10 16:25:10,0,+12.84,+1.023,+1.304,+0.575,+2.071,+0.308,+0.309,+0.280,+0.280,+2.071,+2.045,+0.684,+0.589,+24.2,+22.0,+88.2,+22.0,+21.7,+23.3,+23.1,+54.4,+16.1,+10.4,+15.9,+21.2,+21.0,+22.7,+23.1,+15.0,+17.4,+17.0,+14.9,+23.0,+23.1,+23.1,+22.9,+22.0,+22.1,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
10,2022-11-10 16:25:11,0,+12.89,+1.023,+1.307,+0.575,+2.071,+0.309,+0.309,+0.280,+0.279,+2.070,+2.045,+0.684,+0.589,+24.2,+22.0,+88.2,+22.1,+21.6,+23.2,+23.1,+54.5,+16.0,+10.4,+15.9,+21.2,+21.0,+22.7,+23.1,+15.0,+17.3,+16.9,+14.9,+23.1,+23.1,+23.0,+23.0,+22.0,+22.1,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
11,2022-11-10 16:25:12,0,+12.86,+1.023,+1.308,+0.575,+2.071,+0.309,+0.310,+0.280,+0.280,+2.071,+2.046,+0.685,+0.589,+24.2,+22.0,+88.2,+22.1,+21.7,+23.2,+23.1,+54.5,+16.1,+10.4,+15.9,+21.2,+21.0,+22.6,+23.1,+15.0,+17.2,+16.9,+14.8,+23.1,+23.1,+23.0,+23.0,+22.1,+21.9,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLLL,LLLLLLLLL
